LEAID,LEA_NAME,SCHID,SCH_NAME,CITY,COMBOKEY,NMCNTY,LOCALE,LAT,LON
601687,King-Chavez Preparatory Academy District,11767,King-Chavez Preparatory Academy,San Diego,60168711767,San Diego County,11,32.710844,-117.130502
601688,JCS - Cedar Cove District,14254,JCS-Cedar Cove,Encinitas,60168814254,San Diego County,21,33.035931,-117.275921
601689,Pivot Charter School - San Diego II District,14347,Pivot Charter School - San Diego II,San Marcos,60168914347,San Diego County,21,33.1249,-117.20852
601690,Alliance Leichtman-Levine FAM Foundation Env Sci High DIST,12342,Alliance Leichtman-Levine Family Foundation Env Sci High,Los Angeles,60169012342,Los Angeles County,11,34.113259,-118.246685
601691,Community School for Creative Education District,12844,Community School for Creative Education,Oakland,60169112844,Alameda County,11,37.784895,-122.238787
601693,KIPP Academy of Opportunity District,11308,KIPP Academy of Opportunity,Los Angeles,60169311308,Los Angeles County,11,33.96107,-118.28246
601694,Alliance Jack H. Skirball Middle District,11634,Alliance Jack H. Skirball Middle,Los Angeles,60169411634,Los Angeles County,11,33.930271,-118.26495
601695,San Jose Charter Academy District,7533,San Jose Charter Academy,West Covina,60169507533,Los Angeles County,21,34.062378,-117.960456
601696,KIPP Compton Community District,14242,KIPP Compton Community,Los Angeles,60169614242,Los Angeles County,21,33.911106,-118.271082
601697,San Jose Conservation Corps Charter District,10664,San Jose Conservation Corps Charter,San Jose,60169710664,Santa Clara County,11,37.37233,-121.896831
601698,Millennium Charter District,11426,Millennium Charter,Tracy,60169811426,San Joaquin County,23,37.745973,-121.424345
601699,Watts Learning Center Charter Middle District,12491,Watts Learning Center Charter Middle,Los Angeles,60169912491,Los Angeles County,11,33.957097,-118.269051
601700,City Heights Preparatory Charter District,12961,City Heights Preparatory Charter,San Diego,60170012961,San Diego County,11,32.754037,-117.080107
601701,Empire Springs Charter District,13671,Empire Springs Charter,Temecula,60170113671,Riverside County,12,33.511711,-117.157617
601702,Global Education Academy District,11931,Global Education Academy,Los Angeles,60170211931,Los Angeles County,11,34.00838,-118.282971
601703,Aspire Alexander Twilight Secondary Academy District,12785,Aspire Alexander Twilight Secondary Academy,Sacramento,60170312785,Sacramento County,21,38.610053,-121.407369
601704,ASCEND District,8677,ASCEND,Oakland,60170408677,Alameda County,11,37.773247,-122.22068
601705,Guajome Park Academy Charter District,3964,Guajome Park Academy Charter,Vista,60170503964,San Diego County,21,33.229582,-117.249502
601706,Magnolia Science Academy District,10524,Magnolia Science Academy,Reseda,60170610524,Los Angeles County,11,34.20072,-118.530521
601707,Alliance Margaret M.Bloomfield Technology ACAD High District,12924,Alliance Margaret M. Bloomfield Technology Academy High,Huntington Park,60170712924,Los Angeles County,21,33.96696,-118.230601
601708,Environmental Charter Middle District,12673,Environmental Charter Middle,Gardena,60170812673,Los Angeles County,11,33.880456,-118.289888
601709,New Vision Middle District,12466,New Vision Middle,Highland,60170912466,San Bernardino County,21,34.134885,-117.222551
601711,ASA Charter District,11105,ASA Charter,San Bernardino,60171111105,San Bernardino County,12,34.155133,-117.294599
601712,Kid Street Learning Center Charter District,8401,Kid Street Learning Center Charter,Santa Rosa,60171208401,Sonoma County,12,38.441004,-122.722026
601713,Los Angeles College Prep Academy District,10897,Los Angeles College Prep Academy,Los Angeles,60171310897,Los Angeles County,11,34.102605,-118.183261
601714,Aspen Valley Prep Academy District,10775,Aspen Valley Prep Academy,Fresno,60171410775,Fresno County,11,36.794477,-119.83641
601715,Vista Norte Public Charter District,14217,Vista Norte Public Charter,Rialto,60171514217,San Bernardino County,21,34.122767,-117.367093
601716,California Virtual Academy @ Los Angeles District,12034,California Virtual Academy @ Los Angeles,Simi Valley,60171612034,Ventura County,22,34.275884,-118.797998
601718,Cox Academy District,4257,Cox Academy,Oakland,60171804257,Alameda County,11,37.746302,-122.161401
601719,Manzanita Public Charter District,12214,Manzanita Public Charter,Vandenberg Air Force Base,60171912214,Santa Barbara County,41,34.747599,-120.507128
601721,Rise Kohyang Elementary District,14422,Rise Kohyang Elementary,Los Angeles,60172114422,Los Angeles County,11,34.062468,-118.282165
601722,Richmond College Preparatory District,11576,Richmond College Preparatory,Richmond,60172211576,Contra Costa County,21,37.929179,-122.35934
601723,Rise Kohyang Middle District,12852,Rise Kohyang Middle,Los Angeles,60172312852,Los Angeles County,11,34.061193,-118.287378
601724,AeroSTEM Academy District,14234,AeroSTEM Academy,Yuba City,60172414234,Sutter County,22,39.129262,-121.603046
601725,ICEF Inglewood Elementary Charter Academy District,12467,ICEF Inglewood Elementary Charter Academy,Inglewood,60172512467,Los Angeles County,21,33.958194,-118.354737
601726,Caliber: Beta Academy District,13746,Caliber: Beta Academy,Richmond,60172613746,Contra Costa County,21,37.923207,-122.328546
601728,Kings Valley Academy II District,14205,Kings Valley Academy II,Hanford,60172814205,Kings County,13,36.326394,-119.64964
601729,Rocketship Rising Stars District,13979,Rocketship Rising Stars,San Jose,60172913979,Santa Clara County,11,37.291701,-121.833638
601730,Horizon Charter District,3557,Horizon Charter,Lincoln,60173003557,Placer County,21,38.897666,-121.329708
601731,ICEF View Park Preparatory High District,11358,ICEF View Park Preparatory High,Los Angeles,60173111358,Los Angeles County,11,33.990329,-118.33128
601732,Accelerated District,3245,Accelerated,Los Angeles,60173203245,Los Angeles County,11,34.010811,-118.273723
601733,Opportunities for Learning - Baldwin Park District,8715,Opportunities for Learning - Baldwin Park,Irwindale,60173308715,Los Angeles County,21,34.079093,-117.994061
601734,CORE Charter District,8436,CORE Charter,Marysville,60173408436,Yuba County,22,39.153154,-121.590567
601735,Los Feliz Charter Middle School for the Arts District,14296,Los Feliz Charter Middle School for the Arts,Los Angeles,60173514296,Los Angeles County,11,34.110857,-118.2455
601736,Village Charter Academy District,13765,Village Charter Academy,Canoga Park,60173613765,Los Angeles County,11,34.203996,-118.60342
601737,Bella Mente Montessori Academy District,13667,Bella Mente Montessori Academy,Vista,60173713667,San Diego County,21,33.189535,-117.278358
601738,REACH Leadership STEAM Academy District,13116,REACH Leadership STEAM Academy,Riverside,60173813116,Riverside County,11,33.981016,-117.334659
601740,South Sutter Charter District,11518,South Sutter Charter,East Nicolaus,60174011518,Sutter County,42,38.910848,-121.541436
601741,Camino Nuevo Charter Academy #2 District,12738,Camino Nuevo Charter Academy #2,Los Angeles,60174112738,Los Angeles County,11,34.06855,-118.289063
601742,Ararat Charter District,12437,Ararat Charter,Van Nuys,60174212437,Los Angeles County,11,34.19,-118.44683
601743,Sky Mountain Charter District,11860,Sky Mountain Charter,Placerville,60174311860,El Dorado County,31,38.69971,-120.821871
601744,Ballington Academy for the Arts and Sciences District,12184,Ballington Academy for the Arts and Sciences,El Centro,60174412184,Imperial County,13,32.790923,-115.571178
601745,Insight School of California District,13167,Insight School of California,Simi Valley,60174513167,Ventura County,22,34.275884,-118.797998
601746,Mission Academy District,14230,Mission Academy,Lancaster,60174614230,Los Angeles County,21,34.6662,-118.129748
601747,North Oakland Community Charter District,8442,North Oakland Community Charter,Oakland,60174708442,Alameda County,11,37.833198,-122.276472
601748,Dr. Lewis Dolphin Stallworth Sr. Charter District,12374,Dr. Lewis Dolphin Stallworth Sr. Charter,Stockton,60174812374,San Joaquin County,11,37.955557,-121.270144
601751,Mojave River Academy - Marble City District,14291,Mojave River Academy - Marble City,Phelan,60175114291,San Bernardino County,31,34.426784,-117.565539
601752,Hume Lake Charter District,11584,Hume Lake Charter,Hume,60175211584,Fresno County,43,36.787347,-118.917712
601753,High Tech High District,8599,High Tech High,San Diego,60175308599,San Diego County,11,32.734858,-117.217531
601754,Scholarship Prep District,14060,Scholarship Prep,Santa Ana,60175414060,Orange County,11,33.759245,-117.877982
601755,Lodestar: A Lighthouse Community Charter Public District,14027,Lodestar: A Lighthouse Community Charter Public,Oakland,60175514027,Alameda County,11,37.733673,-122.17848
601756,River Islands Technology Academy II District,13146,River Islands Technology Academy,Lathrop,60175613146,San Joaquin County,41,37.7996,-121.31912
601757,Orange County Department of Education,14337,Suncoast Preparatory Academy,Mission Viejo,60175714337,Orange County,21,33.607211,-117.656738
601758,El Sol Santa Ana Science and Arts Academy District,8755,El Sol Santa Ana Science and Arts Academy,Santa Ana,60175808755,Orange County,11,33.753822,-117.87007
601759,University Preparatory District,11467,University Preparatory,Redding,60175911467,Shasta County,13,40.58738,-122.404562
601760,Vista Condor Global Academy District,14372,Vista Condor Global Academy,Santa Ana,60176014372,Orange County,11,33.74934,-117.902941
601761,APEX Academy District,12312,APEX Academy,Los Angeles,60176112312,Los Angeles County,11,34.095987,-118.313905
601762,EPIC de Cesar Chavez District,13819,EPIC de Cesar Chavez,Tehachapi,60176213819,Kern County,32,35.131713,-118.446513
601763,Classical Academy High District,11756,Classical Academy High,Escondido,60176311756,San Diego County,21,33.124273,-117.080631
601764,KIPP Raices Academy District,12292,KIPP Raices Academy,Los Angeles,60176412292,Los Angeles County,21,34.023006,-118.156218
601765,Rio Valley Charter District,12723,Rio Valley Charter,Lodi,60176512723,San Joaquin County,23,38.114159,-121.28709
601766,Renaissance Arts Academy District,11314,Renaissance Arts Academy,Los Angeles,60176611314,Los Angeles County,11,34.10782,-118.241561
601767,Yav Pem Suab Academy - Preparing for Future Charter District,12652,Yav Pem Suab Academy - Preparing for the Future Charter,Sacramento,60176712652,Sacramento County,11,38.488599,-121.525566
601768,High Tech Elementary Explorer District,8602,High Tech Elementary Explorer,San Diego,60176808602,San Diego County,11,32.734606,-117.219838
601769,City Language Immersion Charter District,13642,City Language Immersion Charter,Los Angeles,60176913642,Los Angeles County,11,34.04388,-118.324926
601771,Voices College-Bound Language ACAD at Morgan Hill District,13875,Voices College-Bound Language Academy at Morgan Hill,Morgan Hill,60177113875,Santa Clara County,23,37.14948,-121.652661
601773,Plumas Charter District,7601,Plumas Charter,Quincy,60177307601,Plumas County,33,39.93728,-120.93903
601775,Futures High District,11070,Futures High,Sacramento,60177511070,Sacramento County,11,38.650964,-121.446083
601776,California Montessori Project - Elk Grove Campus District,11727,California Montessori Project - Elk Grove Campus,Elk Grove,60177611727,Sacramento County,21,38.408758,-121.374256
601777,ISANA Achernar Academy District,12925,ISANA Achernar Academy,Compton,60177712925,Los Angeles County,21,33.915948,-118.222469
601778,Aspire University Charter District,14342,Aspire University Charter,Modesto,60177814342,Stanislaus County,12,37.618421,-121.003104
601779,Vista Oaks Charter District,13821,Vista Oaks Charter School,Lodi,60177913821,San Joaquin County,41,38.128543,-121.308734
601780,Gold Rush Charter District,11827,Gold Rush Charter,Sonora,60178011827,Tuolumne County,32,38.010522,-120.282751
601781,SIATech District,11401,SIATech,Oceanside,60178111401,San Diego County,21,33.21585,-117.270131
601782,Rocketship Mateo Sheedy Elementary District,11864,Rocketship Mateo Sheedy Elementary,San Jose,60178211864,Santa Clara County,11,37.321613,-121.88662
601783,Mare Island Technology Academy District,8398,Mare Island Technology Academy,Vallejo,60178308398,Solano County,12,38.149611,-122.243224
601784,Desert Sands Charter District,8714,Desert Sands Charter,Lancaster,60178408714,Los Angeles County,21,34.68482,-118.16396
601785,PUC Lakeview Charter High District,12816,PUC Lakeview Charter High,Sylmar,60178512816,Los Angeles County,11,34.314435,-118.459941
601786,The Language Academy of Sacramento District,11076,The Language Academy of Sacramento,Sacramento,60178611076,Sacramento County,11,38.548957,-121.451072
601787,High Tech LA Middle District,14225,High Tech LA Middle,Van Nuys,60178714225,Los Angeles County,11,34.169428,-118.451326
601788,Gompers Preparatory Academy District,12386,Gompers Preparatory Academy,San Diego,60178812386,San Diego County,11,32.716034,-117.091563
601789,Valor Academy High District,13564,Valor Academy High,North Hills,60178913564,Los Angeles County,11,34.240426,-118.458188
601790,Compass Charter Schools of Los Angeles District,14045,Compass Charter Schools of Los Angeles,Thousand Oaks,60179014045,Ventura County,12,34.155773,-118.830751
601791,KIPP Ignite Academy District,13883,KIPP Ignite Academy,Los Angeles,60179113883,Los Angeles County,11,33.953617,-118.256231
601792,Stockton Collegiate International Secondary District,12547,Stockton Collegiate International Secondary,Stockton,60179212547,San Joaquin County,11,37.953037,-121.285105
601793,Rocketship Redwood City District,13923,Rocketship Redwood City,Redwood City,60179313923,San Mateo County,13,37.473202,-122.232183
601794,Options for Youth-San Juan District,8578,Options for Youth-San Juan,Carmichael,60179408578,Sacramento County,21,38.648265,-121.328903
601795,Extera Public School No. 2 District,13316,Extera Public School No. 2,Los Angeles,60179513316,Los Angeles County,11,34.025889,-118.2031
601796,SAVA- Sacramento ACAD and Vocational Academy- EGUSD District,14368,SAVA - Sacramento Academic and Vocational Academy - EGUSD,Elk Grove,60179614368,Sacramento County,21,38.42659,-121.460901
601797,Los Angeles Leadership Primary Academy District,12963,Los Angeles Leadership Primary Academy,Los Angeles,60179712963,Los Angeles County,11,34.078576,-118.211498
601798,Math and Science College Preparatory District,13084,Math and Science College Preparatory,Los Angeles,60179813084,Los Angeles County,11,34.032305,-118.319015
601799,Ednovate - Brio College Prep District,14104,Ednovate - Brio College Prep,Los Angeles,60179914104,Los Angeles County,11,34.053576,-118.255018
601800,High Tech Middle Chula Vista District,12642,High Tech Middle Chula Vista,Chula Vista,60180012642,San Diego County,41,32.61671,-116.953238
601801,Aspire Langston Hughes Academy District,12244,Aspire Langston Hughes Academy,Stockton,60180112244,San Joaquin County,11,37.975916,-121.27948
601802,California Virtual Academy San Mateo District,11787,California Virtual Academy San Mateo,Simi Valley,60180211787,Ventura County,22,34.275884,-118.797998
601803,Valley Oak Charter District,10709,Valley Oak Charter,Ojai,60180310709,Ventura County,21,34.437965,-119.283278
601804,Extera Public District,12982,Extera Public,Los Angeles,60180412982,Los Angeles County,11,34.042193,-118.213317
601805,California Virtual Academy @ San Diego District,10641,California Virtual Academy @ San Diego,Simi Valley,60180510641,Ventura County,22,34.275884,-118.797998
601806,iLEAD Online District,14203,iLEAD Online,Acton,60180614203,Los Angeles County,41,34.492824,-118.195595
601808,High Tech Middle District,11262,High Tech Middle,San Diego,60180811262,San Diego County,11,32.73539,-117.217841
601809,San Diego Cooperative Charter District,10636,San Diego Cooperative Charter School,San Diego,60180910636,San Diego County,11,32.791306,-117.167324
601810,California Virtual Academy at Sutter District,13698,California Virtual Academy at Sutter,Simi Valley,60181013698,Ventura County,22,34.275884,-118.797998
601811,Cottonwood Creek Charter District,12647,Cottonwood Creek Charter,Cottonwood,60181112647,Shasta County,31,40.387285,-122.279321
601812,REACH District,12469,REACH,Sebastopol,60181212469,Sonoma County,41,38.391349,-122.85045
601813,Bellevue-Santa Fe Charter District,5868,Bellevue-Santa Fe Charter,San Luis Obispo,60181305868,San Luis Obispo County,41,35.192954,-120.714672
601814,Barona Indian Charter District,10631,Barona Indian Charter,Lakeside,60181410631,San Diego County,41,32.942005,-116.855257
601815,Leadership Public Schools - Hayward District,10737,Leadership Public Schools - Hayward,Hayward,60181510737,Alameda County,21,37.623253,-122.086792
601816,Urban Montessori Charter District,13008,Urban Montessori Charter,Oakland,60181613008,Alameda County,11,37.786767,-122.187972
601817,Harriet Tubman Village Charter District,3943,Harriet Tubman Village Charter,San Diego,60181703943,San Diego County,11,32.770107,-117.04967
601818,High Tech High North County District,12064,High Tech High North County,San Marcos,60181812064,San Diego County,21,33.132371,-117.202227
601820,Lemoore Online College Preparatory High District,14163,Lemoore Online College Preparatory High,Lemoore,60182014163,Kings County,41,36.291048,-119.82331
601821,Aspire Antonio Maria Lugo Academy District,10891,Aspire Antonio Maria Lugo Academy,Huntington Park,60182110891,Los Angeles County,21,33.984291,-118.196845
601822,Antioch Charter Academy II District,11984,Antioch Charter Academy II,Antioch,60182211984,Contra Costa County,21,38.00872,-121.823148
601823,Gorman Learning Center San Bernardino/Santa Clarita District,14328,Gorman Learning Center San Bernardino/Santa Clarita,Santa Clarita,60182314328,Los Angeles County,21,34.419,-118.425028
601824,Higher Learning Academy District,11916,Higher Learning Academy,Sacramento,60182411916,Sacramento County,11,38.650964,-121.446083
601825,Opportunities for Learning - Duarte District,13697,Opportunities for Learning - Duarte,Duarte,60182513697,Los Angeles County,21,34.138835,-117.979469
601826,Aspire Vanguard College Preparatory Academy District,12511,Aspire Vanguard College Preparatory Academy,Modesto,60182612511,Stanislaus County,12,37.618421,-121.003104
601827,Bay Area Technology District,10720,Bay Area Technology,Oakland,60182710720,Alameda County,11,37.76573,-122.153923
601828,Journey District,14358,Journey,Moreno Valley,60182814358,Riverside County,21,33.918667,-117.216865
601829,Big Picture Educational Academy District,12427,Big Picture Educational Academy,Fresno,60182912427,Fresno County,11,36.730235,-119.808188
601830,EJE Elementary Academy Charter District,11124,EJE Elementary Academy,El Cajon,60183011124,San Diego County,21,32.785007,-116.970311
601831,Gilroy Prep (a Navigator School) District,12751,Gilroy Prep (a Navigator School),Gilroy,60183112751,Santa Clara County,23,37.014655,-121.56965
601832,Kairos Public School Vacaville Academy District,13743,Kairos Public Schools,Vacaville,60183213743,Solano County,23,38.35257,-121.990523
601833,PUC CALS Middle School and Early College High District,10890,PUC CALS Middle School and Early College High,Los Angeles,60183310890,Los Angeles County,11,34.137362,-118.187453
601834,University High District,11911,University High,Fresno,60183411911,Fresno County,11,36.810318,-119.744292
601835,Alliance Marine - Innovation and Techn 6-12 Complex District,13857,Alliance Marine - Innovation and Technology 6-12 Complex,Sun Valley,60183513857,Los Angeles County,11,34.2374,-118.393341
601837,Camino Nuevo Charter Academy #4 District,12915,Camino Nuevo Charter Academy #4,Los Angeles,60183712915,Los Angeles County,11,34.076724,-118.265066
601838,Steele Canyon High District,8594,Steele Canyon High,Spring Valley,60183808594,San Diego County,21,32.730122,-116.925152
601839,Francophone Charter School of Oakland District,13942,Francophone Charter School of Oakland,Oakland,60183913942,Alameda County,11,37.751445,-122.157053
601840,Thompson Peak Charter District,14096,Thompson Peak Charter,Susanville,60184014096,Lassen County,33,40.430055,-120.658447
601841,JCS - Manzanita District,14353,JCS - Manzanita,La Mesa,60184114353,San Diego County,21,32.77577,-117.01399
601842,San Carlos Charter Learning Center District,4029,San Carlos Charter Learning Center,San Carlos,60184204029,San Mateo County,21,37.509745,-122.285493
601843,CORE Butte Charter District,11953,CORE Butte Charter,Chico,60184311953,Butte County,12,39.70594,-121.789123
601844,New West Charter District,11208,New West Charter,Los Angeles,60184411208,Los Angeles County,11,34.03561,-118.455371
601845,Sherwood Montessori District,12750,Sherwood Montessori,Chico,60184512750,Butte County,12,39.727532,-121.815963
601846,TEAM Charter District,12900,TEAM Charter School,Stockton,60184612900,San Joaquin County,11,37.953584,-121.282801
601847,Mirus Secondary District,11899,Mirus Secondary,Hesperia,60184711899,San Bernardino County,21,34.425773,-117.354799
601848,Rocketship Academy Brilliant Minds District,13073,Rocketship Academy Brilliant Minds,San Jose,60184813073,Santa Clara County,11,37.354021,-121.821382
601849,Crown Preparatory Academy District,12811,Crown Preparatory Academy,Los Angeles,60184912811,Los Angeles County,11,34.034951,-118.310623
601850,Port of Los Angeles High District,10864,Port of Los Angeles High School,San Pedro,60185010864,Los Angeles County,11,33.740259,-118.282571
601851,California Connections Academy Southern California District,10983,California Connections Academy Southern California,San Juan Capistrano,60185110983,Orange County,21,33.47822,-117.671056
601852,ACE Esperanza Middle District,13740,ACE Esperanza Middle,San Jose,60185213740,Santa Clara County,11,37.327235,-121.845743
601853,Wonderful College Prep Academy - Lost Hills District,14168,Wonderful College Prep Academy - Lost Hills,Lost Hills,60185314168,Kern County,42,35.612634,-119.684724
601854,Antelope Valley Learning Academy District,12022,Antelope Valley Learning Academy,Palmdale,60185412022,Los Angeles County,21,34.558626,-118.043593
601855,Audeo Charter II District,14028,Audeo Charter II,Oceanside,60185514028,San Diego County,21,33.180847,-117.291456
601856,Fusion Charter District,13826,Fusion Charter,Turlock,60185613826,Stanislaus County,23,37.478666,-120.854145
601857,Aspire Ollin University Preparatory Academy District,11655,Aspire Ollin University Preparatory Academy,Huntington Park,60185711655,Los Angeles County,21,33.990014,-118.22635
601858,Ingenium Charter Middle District,13466,Ingenium Charter Middle,Winnetka,60185813466,Los Angeles County,11,34.203664,-118.569886
601859,EJE Middle Academy District,12409,EJE Middle Academy,El Cajon,60185912409,San Diego County,21,32.785007,-116.970311
601861,Gateway Middle District,12800,Gateway Middle,San Francisco,60186112800,San Francisco County,11,37.779437,-122.435995
601862,Kepler Neighborhood District,13508,Kepler Neighborhood,Fresno,60186213508,Fresno County,11,36.738152,-119.796049
601863,ISANA Cardinal Academy District,12942,ISANA Cardinal Academy,Sun Valley,60186312942,Los Angeles County,11,34.203991,-118.377576
601865,Alliance College-Ready Middle Academy 4 District,12528,Alliance College-Ready Middle Academy 4,Los Angeles,60186512528,Los Angeles County,11,33.94777,-118.27423
601866,New Los Angeles Charter District,12324,New Los Angeles Charter,Los Angeles,60186612324,Los Angeles County,11,34.04062,-118.35805
601867,Synergy Quantum Academy District,12883,Synergy Quantum Academy,Los Angeles,60186712883,Los Angeles County,11,33.994066,-118.267978
601868,Rising Sun Montessori District,13748,Rising Sun Montessori School,El Dorado Hills,60186813748,El Dorado County,41,38.62606,-121.060491
601869,Learning Works District,12366,Learning Works,Pasadena,60186912366,Los Angeles County,12,34.147588,-118.092653
601870,Options for Youth-San Bernardino District,12457,Options for Youth-San Bernardino,San Bernardino,60187012457,San Bernardino County,12,34.083002,-117.293501
601871,Vista Charter Middle District,12776,Vista Charter Middle,Los Angeles,60187112776,Los Angeles County,11,34.073893,-118.278773
601872,John Henry High District,13892,John Henry High,Richmond,60187213892,Contra Costa County,21,37.91302,-122.35499
601873,The Education Corps District,13673,The Education Corps,Long Beach,60187313673,Los Angeles County,11,33.82337,-118.185391
601875,MIT Griffin Academy Middle District,14264,MIT Griffin Academy Middle,Vallejo,60187514264,Solano County,12,38.132754,-122.248571
601876,Charter School of San Diego District,3939,Charter School of San Diego,San Diego,60187603939,San Diego County,11,32.90275,-117.184148
601877,Accelerated Achievement Academy District,10552,Accelerated Achievement Academy,Ukiah,60187710552,Mendocino County,33,39.161676,-123.20887
601878,High Tech Middle Media Arts District,11155,High Tech Middle Media Arts,San Diego,60187811155,San Diego County,11,32.734606,-117.219838
601879,BRIDGES Charter District,12617,BRIDGES Charter,Thousand Oaks,60187912617,Ventura County,12,34.212244,-118.856184
601880,American Indian Public Charter II District,12013,American Indian Public Charter II,Oakland,60188012013,Alameda County,11,37.800157,-122.265641
601881,ICEF View Park Preparatory Elementary District,8030,ICEF View Park Preparatory Elementary,Los Angeles,60188108030,Los Angeles County,11,33.994506,-118.331256
601882,Fuente Nueva Charter District,10799,Fuente Nueva Charter,Arcata,60188210799,Humboldt County,33,40.879578,-124.100482
601883,Endeavor College Preparatory Charter District,12536,Endeavor College Preparatory Charter,Los Angeles,60188312536,Los Angeles County,11,34.026867,-118.220003
601884,California Virtual Academy at Kings District,11996,California Virtual Academy at Kings,Simi Valley,60188411996,Ventura County,22,34.275884,-118.797998
601885,Magnolia Science Academy 5 District,12347,Magnolia Science Academy 5,Reseda,60188512347,Los Angeles County,11,34.20072,-118.530521
601886,Learning Without Limits District,12054,Learning Without Limits,Oakland,60188612054,Alameda County,11,37.780364,-122.212057
601887,Nea Community Learning Center District,12399,Nea Community Learning Center,Alameda,60188712399,Alameda County,21,37.779205,-122.287277
601888,Discovery Charter District,10393,Discovery Charter,Tracy,60188810393,San Joaquin County,23,37.745973,-121.424345
601889,Stella Middle Charter Academy District,11361,Stella Middle Charter Academy,Los Angeles,60188911361,Los Angeles County,11,34.017021,-118.344351
601891,High Tech High International District,11138,High Tech High International,San Diego,60189111138,San Diego County,11,32.733177,-117.219085
601892,Leadership Public Schools: Richmond District,11225,Leadership Public Schools: Richmond,Richmond,60189211225,Contra Costa County,21,37.933872,-122.361212
601893,San Diego Virtual District,12767,San Diego Virtual,San Diego,60189312767,San Diego County,11,32.771399,-117.130282
601894,Santiago Middle District,4450,Santiago Middle,Orange,60189404450,Orange County,12,33.795387,-117.797717
601895,Forest Ranch Charter District,12233,Forest Ranch Charter,Forest Ranch,60189512233,Butte County,42,39.884674,-121.666917
601896,Albert Einstein Academy Charter Middle District,11766,Albert Einstein Academies,San Diego,60189611766,San Diego County,11,32.71019,-117.13845
601897,Scale Leadership Academy - East District,14356,Scale Leadership Academy - East,Chino,60189714356,San Bernardino County,13,33.98431,-117.689651
601898,Vaughn Next Century Learning Center District,3426,Vaughn Next Century Learning Center,San Fernando,60189803426,Los Angeles County,11,34.28053,-118.422686
601899,Animo Ralph Bunche Charter High District,11635,Animo Ralph Bunche Charter High,Los Angeles,60189911635,Los Angeles County,11,34.0127,-118.2439
601900,Alliance Piera Barbaglia Shaheen HLT SRVs Academy District,12378,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles,60190012378,Los Angeles County,11,33.960292,-118.294314
601901,East Palo Alto Academy District,11431,East Palo Alto Academy,East Palo Alto,60190111431,San Mateo County,21,37.462974,-122.131799
601902,El Camino Real Charter High District,2977,El Camino Real Charter High,Woodland Hills,60190202977,Los Angeles County,11,34.169674,-118.642323
601903,Children's Community Charter District,5717,Children's Community Charter,Paradise,60190305717,Butte County,31,39.783741,-121.579258
601904,Larchmont Charter District,10870,Larchmont Charter School at Fairfax,West Hollywood,60190410870,Los Angeles County,21,34.093558,-118.361871
601904,Larchmont Charter District,99997,Larchmont Charter School at LaFayette Park Place,,60190499997,,,,
601904,Larchmont Charter District,99998,Larchmont Charter School at Hollygrove,,60190499998,,,,
601904,Larchmont Charter District,99999,Larchmont Charter School at Selma,,60190499999,,,,
601905,PUC Milagro Charter District,10835,PUC Milagro Charter,Los Angeles,60190510835,Los Angeles County,11,34.06661,-118.219813
601906,Escuela Popular Accelerated Family Learning District,10666,Escuela Popular Accelerated Family Learning,San Jose,60190610666,Santa Clara County,11,37.369387,-121.831777
601907,Downtown Value District,10522,Downtown Value,Los Angeles,60190710522,Los Angeles County,11,34.037323,-118.279404
601908,River Oaks Academy District,12801,River Oaks Academy,Westlake Village,60190812801,Ventura County,12,34.155865,-118.830482
601909,Northern United - Humboldt Charter District,14323,Northern United - Humboldt Charter,Eureka,60190914323,Humboldt County,33,40.758412,-124.147201
601911,Academy for Academic Excellence District,7296,Academy for Academic Excellence,Apple Valley,60191107296,San Bernardino County,21,34.533297,-117.278362
601912,Summit Public School K2 District,13776,Summit Public School K2,El Cerrito,60191213776,Contra Costa County,21,37.925961,-122.313368
601913,Charter School of Morgan Hill District,10405,Charter School of Morgan Hill,Morgan Hill,60191310405,Santa Clara County,41,37.204896,-121.726371
601914,California School of the Arts - San Gabriel Valley District,14083,California School of the Arts - San Gabriel Valley,Duarte,60191414083,Los Angeles County,21,34.136385,-117.968568
601915,Odyssey Charter District,8012,Odyssey Charter,Altadena,60191508012,Los Angeles County,12,34.199331,-118.161272
601916,Willits Charter District,8213,Willits Charter,Willits,60191608213,Mendocino County,33,39.396734,-123.34879
601917,Our Community Charter District,10896,Our Community Charter School,Chatsworth,60191710896,Los Angeles County,11,34.253273,-118.563681
601918,ICEF Vista Middle Academy District,11954,ICEF Vista Middle Academy,Los Angeles,60191811954,Los Angeles County,11,33.9946,-118.418951
601919,Ballington Acad for Arts & Scis - San Bernardino District,13983,Ballington Acad for the Arts and Scis - San Bernardino,San Bernardino,60191913983,San Bernardino County,12,34.10103,-117.26854
601920,KIPP Corazon Academy District,14108,KIPP Corazon Academy,South Gate,60192014108,Los Angeles County,21,33.95093,-118.218281
601921,Voices College-Bound Lang Acad @ W. Contra Costa Co District,14227,Voices College-Bound Language Acad at W. Contra Costa Co,Richmond,60192114227,Contra Costa County,21,37.93397,-122.342121
601922,Redwood Coast Montessori District,14287,Redwood Coast Montessori,Manila,60192214287,Humboldt County,33,40.845517,-124.169021
601923,N.E.W. Academy of Science and Arts District,11333,N.E.W. Academy of Science and Arts,Los Angeles,60192311333,Los Angeles County,11,34.05906,-118.2667
